question,answer,generated_answer
<MedVQA>What is the condition visible in the image?,Oesophagitis,Oesophagitis
<MedVQA>What is the condition visible in the image?,"The abnormality has a pink, red, and white coloration.","The abnormality appears pink, red, and white in color."
<MedVQA>What is the condition visible in the image?,There are no polyps,There are no polyps.
<MedVQA>What is the condition visible in the image?,"The abnormality is located in a symmetrical pattern around the center, with presence of abnormality in all four quadrants, as well as along the vertical and horizontal midlines.","The abnormality is located in multiple areas, including the center, upper-left, lower-right, center-left and center-right."
<MedVQA>What is the condition visible in the image?,The polyp is of Paris type.,A Paris IIa type polyp
<MedVQA>What is the condition visible in the image?,There are no instruments visible.,There are no instruments visible in the image.
<MedVQA>What is the condition visible in the image?,"No, the image does not contain any artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What is the condition visible in the image?,There are no instruments visible in the image.,There are no instruments visible in the image.
<MedVQA>What is the condition visible in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>What is the condition visible in the image?,"Yes, the image contains text.","Yes, the image contains text."
<MedVQA>What is the condition visible in the image?,There are no polyps.,There are no polyps.
<MedVQA>What is the condition visible in the image?,There are no instruments visible.,There are no instruments visible.
<MedVQA>What is the condition visible in the image?,There is 1 instrument.,There is 1 instrument.
<MedVQA>What is the condition visible in the image?,The polyp is not present.,There are no polyps.
<MedVQA>What is the condition visible in the image?,Ulcerative colitis,Ulcerative colitis
<MedVQA>What is the condition visible in the image?,There are 2 findings.,There are 2 findings.
<MedVQA>What is the condition visible in the image?,Ulcerative Colitis,Ulcerative colitis
<MedVQA>What is the condition visible in the image?,"The abnormality appears to be pink, red, and white in color.",The abnormality appears pink and red in color.
<MedVQA>What is the condition visible in the image?,The abnormality is pink and red in color.,"The abnormality has a pink, red, and white color."
<MedVQA>What is the condition visible in the image?,"No, the image does not contain any text.","No, the image does not contain any text."
<MedVQA>How many instruments are present?,There are 2 instruments present.,There are 2 instruments.
<MedVQA>How many instruments are present?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>How many instruments are present?,Ulcerative colitis,Ulcerative colitis
<MedVQA>How many instruments are present?,A tube is visible.,A tube
<MedVQA>How many instruments are present?,There are no instruments visible.,There are no instruments visible in the image.
<MedVQA>How many instruments are present?,A Paris IP type polyp is present.,A Paris type polyp is present.
<MedVQA>How many instruments are present?,Colonoscopy,A colonoscopy procedure
<MedVQA>How many instruments are present?,The color of the abnormality is pink.,The color of the abnormality is pink.
<MedVQA>How many instruments are present?,Yes,"Yes, the image contains text."
<MedVQA>How many instruments are present?,No,"No, the image does not contain text."
<MedVQA>How many instruments are present?,The abnormality in the image appears white and red in color.,The abnormality appears white and pink in color.
<MedVQA>How many instruments are present?,Colonoscopy,A colonoscopy procedure
<MedVQA>How many instruments are present?,The instrument is located in the center and upper-center of the image.,The instrument is located in the center and upper-center of the image.
<MedVQA>How many instruments are present?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>How many instruments are present?,The apparent color of the box artefact is green/black.,The box artefact is green/black.
<MedVQA>How many instruments are present?,Yes,"Yes, the image contains text."
<MedVQA>How many instruments are present?,Gastroscopy,A gastroscopy procedure
<MedVQA>How many instruments are present?,Ulcerative colitis,Ulcerative colitis
<MedVQA>How many instruments are present?,One instrument,A polyp
<MedVQA>How many instruments are present?,No polyps are present.,The colon is polyp-free.
