caption,Q,A
Generate an image containing a polyp.,What is visible in the medical image?,A polyp
Generate an image containing biopsy forceps.,What is the instrument being used in the procedure?,Biopsy forceps
Generate an image with 2 findings.,How many findings are there in the image?,There are 2 findings.
Generate an image with 1 instrument.,What instruments are present in the image?,There is 1 instrument.
Generate an image with 1 polyp.,How many polyps are present in the image?,1 polyp
Generate an image not containing a green/black box artefact.,Does the image contain any artefacts?,"No, the image does not contain any artefacts such as a green/black box."
Generate an image containing text.,Is there text in the image?,"Yes, the image contains text."
Generate an image with an abnormality with the colors red and pink.,What is the color of the abnormality in the image?,The color of the abnormality is red and pink.
Generate an image with a polyp of size >20mm.,What is the size of the polyp in the image?,The size of the polyp is greater than 20mm.
Generate a polyp of type paris ip.,What type of polyp is present in the image?,A Paris IP type polyp
Generate an image from a colonoscopy procedure.,What type of procedure is depicted in the image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the upper-left, lower-left, center-left and lower-center.",What is the location of the abnormality?,"The abnormality is located in the upper-left, lower-left, center-left, and lower-center areas."
Generate an image with an an instrument located in the lower-center.,What is the location of the instrument?,The instrument is located in the lower-center.
Generate an image containing ulcerative colitis.,What is the condition depicted in this image?,Ulcerative colitis
Generate an image with 1 finding.,What is visible in the image?,There is 1 finding present.
Generate an image with no instruments.,What instruments are present in the image?,No instruments are present in the image.
Generate an image with no polyps.,What is the polyp count in the image?,There are no polyps.
Generate an image containing a green/black box artefact.,What kind of artefact is visible in the image?,A green/black box artefact
Generate an image containing text.,Is there text in the image?,"Yes, the image contains text."
"Generate an image with an abnormality with the colors pink, red, white and yellow.",What are the dominant colors of the abnormality?,"The dominant colors of the abnormality are pink, red, white, and yellow."
Generate an image from a colonoscopy procedure.,What type of medical procedure is depicted in this image?,Colonoscopy
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-right, center-left, center-right, upper-center and lower-center.",What is the distribution of the abnormality in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-right, center-left, center-right, upper-center, and lower-center."
Generate an image containing oesophagitis.,What is the diagnosis in this endoscopic image?,The image shows signs of oesophagitis.
Generate an image containing the z-line.,What is visible in the image?,The z-line is visible.
Generate an image with 2 findings.,How many findings are visible in the image?,There are 2 findings in the image.
Generate an image with no instruments.,What is shown in the image?,The image shows no instruments.
Generate an image with no polyps.,What is the condition of the patient's gastrointestinal tract?,The patient's gastrointestinal tract is normal with no signs of polyps.
Generate an image not containing a green/black box artefact.,Does the image contain a green/black box artefact?,"No, the image does not contain a green/black box artefact."
Generate an image not containing text.,What is the content of the image?,The image does not contain text.
"Generate an image with an abnormality with the colors pink, red and white.",What is the color of the abnormality depicted in the image?,"The abnormality is pink, red, and white in color."
Generate an image from a gastroscopy procedure.,What type of procedure is shown in this image?,Gastroscopy
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the pattern of the abnormality's location in the image?,"The abnormality is located in multiple areas, including center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
